threshold,suspicious_precision,suspicious_recall,suspicious_f1,suspicious_f2,false_negatives,false_positives
0.3,0.675,1.0,0.8059701492537313,0.9121621621621622,0,39
0.35,0.7941176470588235,1.0,0.8852459016393442,0.9507042253521126,0,21
0.4,0.8901098901098901,1.0,0.9418604651162791,0.9759036144578314,0,10
0.45,0.975,0.9629629629629629,0.968944099378882,0.9653465346534653,3,2
0.5,0.9743589743589743,0.9382716049382716,0.9559748427672956,0.945273631840796,5,2
0.55,1.0,0.9012345679012346,0.948051948051948,0.9193954659949622,8,0
0.6,1.0,0.8395061728395061,0.912751677852349,0.8673469387755102,13,0
0.65,1.0,0.7777777777777778,0.875,0.813953488372093,18,0
0.7,1.0,0.6049382716049383,0.7538461538461538,0.6568364611260054,32,0
